名次,account,姓名,真實姓名,備註/註解,學校,答對,送出,時間,分數
1,R4G1,R4G1,R4G1,R4G1,,3,30,331,726.6
2,R7G5,R7G5,R7G5,R7G5,,4,30,330,713.0
3,R3G1,R3G1,R3G1,R3G1,,4,27,451,615.0
4,R8G1,R8G1,R8G1,R8G1,,5,24,548,612.0
5,R5G5,R5G5,R5G5,R5G5,,4,16,514,545.6
6,R5G4,R5G4,R5G4,R5G4,,4,26,389,533.0
7,R1G5,R1G5,R1G5,R1G5,,4,22,348,525.0
8,R3G5,R3G5,R3G5,R3G5,,4,16,457,492.0
9,R6G1,R6G1,R6G1,R6G1,,3,34,292,485.0
10,R9G4,R9G4,R9G4,R9G4,,4,16,441,480.0
11,R2G5,R2G5,R2G5,R2G5,,3,22,324,470.0
12,R2G1,R2G1,R2G1,R2G1,,3,21,276,428.0
13,R4G5,R4G5,R4G5,R4G5,,3,11,293,380.0
14,R7G2,R7G2,R7G2,R7G2,,3,50,302,373.6
15,R4G4,R4G4,R4G4,R4G4,,3,20,342,342.0
16,R6G3,R6G3,R6G3,R6G3,,2,16,172,340.0
17,R5G2,R5G2,R5G2,R5G2,,3,8,293,315.0
18,R7G1,R7G1,R7G1,R7G1,,3,14,302,310.0
19,R1G3,R1G3,R1G3,R1G3,,2,24,281,308.0
20,R5G3,R5G3,R5G3,R5G3,,3,11,424,300.0
21,R4G3,R4G3,R4G3,R4G3,,2,18,195,284.0
22,R3G2,R3G2,R3G2,R3G2,,1,13,38,270.0
23,R7G3,R7G3,R7G3,R7G3,,1,10,44,258.0
24,R1G2,R1G2,R1G2,R1G2,,2,15,198,248.0
25,R3G3,R3G3,R3G3,R3G3,,2,13,260,248.0
26,R6G2,R6G2,R6G2,R6G2,,2,28,342,248.0
27,R2G4,R2G4,R2G4,R2G4,,1,16,48,228.0
28,R1G1,R1G1,R1G1,R1G1,,1,20,85,208.0
29,R6G5,R6G5,R6G5,R6G5,,2,14,168,200.0
30,R7G4,R7G4,R7G4,R7G4,,2,7,176,200.0
31,R2G2,R2G2,R2G2,R2G2,,2,10,265,200.0
32,R9G3,R9G3,R9G3,R9G3,,1,2,107,150.0
33,R5G1,R5G1,R5G1,R5G1,,1,15,88,100.0
34,R1G4,R1G4,R1G4,R1G4,,1,8,164,100.0
35,R3G4,R3G4,R3G4,R3G4,,1,17,323,100.0
36,R6G4,R6G4,R6G4,R6G4,,0,6,0,0.0
37,R9G5,R9G5,R9G5,R9G5,,0,0,0,0.0
