名次,account,姓名,真實姓名,備註/註解,學校,答對,送出,時間,分數
1,R4G2,R4G2,R4G2,R4G2,,5,27,322,716.0
2,R2G4,R2G4,R2G4,R2G4,,5,66,436,601.2
3,R2G8,R2G8,R2G8,R2G8,,4,36,358,572.4000000000001
4,R2G1,R2G1,R2G1,R2G1,,4,31,322,560.0
5,R3G9,R3G9,R3G9,R3G9,,5,14,397,480.0
6,R1G0,R1G0,R1G0,R1G0,,4,34,622,460.0
7,R4G0,R4G0,R4G0,R4G0,,4,11,194,459.6
8,R4G5,R4G5,R4G5,R4G5,,4,20,450,440.0
9,R1G8,R1G8,R1G8,R1G8,,4,25,638,440.0
10,R1G7,R1G7,R1G7,R1G7,,3,24,216,419.2
11,R4G3,R4G3,R4G3,R4G3,,2,27,390,419.2
12,R2G2,R2G2,R2G2,R2G2,,4,32,261,399.6
13,R2G9,R2G9,R2G9,R2G9,,2,26,277,399.2
14,R3G1,R3G1,R3G1,R3G1,,2,18,49,391.6
15,R3G8,R3G8,R3G8,R3G8,,3,31,517,390.0
16,R1G3,R1G3,R1G3,R1G3,,2,35,422,382.80000000000007
17,R2G7,R2G7,R2G7,R2G7,,4,12,283,360.0
18,R2G6,R2G6,R2G6,R2G6,,3,32,549,350.0
19,R4G6,R4G6,R4G6,R4G6,,2,18,207,340.0
20,R1G1,R1G1,R1G1,R1G1,,2,22,129,330.0
21,R3G2,R3G2,R3G2,R3G2,,2,9,91,329.2
22,R2G5,R2G5,R2G5,R2G5,,3,8,172,320.0
23,R3G3,R3G3,R3G3,R3G3,,2,17,239,319.6
24,R3G5,R3G5,R3G5,R3G5,,1,17,61,305.6
25,R4G7,R4G7,R4G7,R4G7,,1,41,55,276.0
26,R1G5,R1G5,R1G5,R1G5,,0,29,0,265.6
27,R2G0,R2G0,R2G0,R2G0,,1,18,52,255.6
28,R1G6,R1G6,R1G6,R1G6,,2,10,150,239.2
29,R3G4,R3G4,R3G4,R3G4,,2,26,414,239.2
30,R3G7,R3G7,R3G7,R3G7,,2,18,348,230.0
31,R3G6,R3G6,R3G6,R3G6,,1,12,38,228.0
32,R4G1,R4G1,R4G1,R4G1,,1,29,400,140.0
33,R1G9,R1G9,R1G9,R1G9,,1,16,74,132.0
34,R1G4,R1G4,R1G4,R1G4,,1,12,179,110.0
35,R1G2,R1G2,R1G2,R1G2,,0,20,0,64.0
36,R2G3,R2G3,R2G3,R2G3,,0,7,0,30.0
37,R3G0,R3G0,R3G0,R3G0,,0,5,0,16.0
